installation_year,count
1900.0,3
1901.0,1
1902.0,1
1903.0,2
1906.0,2
1907.0,2
1909.0,1
1910.0,1
1911.0,1
1913.0,1
1920.0,2
1921.0,1
1922.0,3
1923.0,2
1924.0,7
1925.0,3
1926.0,5
1927.0,12
1928.0,17
1929.0,12
1930.0,22
1931.0,27
1932.0,12
1933.0,3
1934.0,7
1935.0,4
1936.0,6
1937.0,9
1938.0,3
1939.0,10
1940.0,21
1941.0,15
1942.0,13
1943.0,6
1944.0,22
1945.0,11
1946.0,27
1947.0,34
1948.0,49
1949.0,53
1950.0,89
1951.0,48
1952.0,89
1953.0,63
1954.0,58
1955.0,61
1956.0,47
1957.0,59
1958.0,43
1959.0,74
1960.0,70
1961.0,45
1962.0,60
1963.0,62
1964.0,45
1965.0,63
1966.0,69
1967.0,74
1968.0,108
1969.0,67
1970.0,98
1971.0,73
1972.0,67
1973.0,65
1974.0,57
1975.0,54
1976.0,57
1977.0,52
1978.0,75
1979.0,67
1980.0,69
1981.0,57
1982.0,51
1983.0,41
1984.0,34
1985.0,39
1986.0,41
1987.0,28
1988.0,30
1989.0,35
1990.0,41
1991.0,49
1992.0,47
1993.0,40
1994.0,49
1995.0,46
1996.0,56
1997.0,57
1998.0,62
1999.0,46
2000.0,48
2001.0,39
2002.0,52
2003.0,55
2004.0,41
2005.0,62
2006.0,64
2007.0,84
2008.0,92
2009.0,107
2010.0,98
2011.0,86
2012.0,154
2013.0,154
2014.0,195
2015.0,202
2016.0,180
2017.0,117
2018.0,130
2019.0,128
2020.0,52
2021.0,39
