installation_year,count,year,Gas Distribution,Gas Transmission and Gathering,Hazardous Liquid,total,percent_incidents
1900,3,,,,,,
1901,1,,,,,,
1902,1,,,,,,
1903,2,,,,,,
1906,2,,,,,,
1907,2,,,,,,
1909,1,,,,,,
1910,1,,,,,,
1911,1,,,,,,
1913,1,,,,,,
1920,2,,,,,,
1921,1,,,,,,
1922,3,,,,,,
1923,2,,,,,,
1924,7,,,,,,
1925,3,,,,,,
1926,5,,,,,,
1927,12,,,,,,
1928,17,,,,,,
1929,12,,,,,,
1930,22,,,,,,
1931,27,,,,,,
1932,12,,,,,,
1933,3,,,,,,
1934,7,,,,,,
1935,4,,,,,,
1936,6,,,,,,
1937,9,,,,,,
1938,3,,,,,,
1939,10,,,,,,
1940,21,,,,,,
1941,15,,,,,,
1942,13,,,,,,
1943,6,,,,,,
1944,22,,,,,,
1945,11,,,,,,
1946,27,,,,,,
1947,34,,,,,,
1948,49,,,,,,
1949,53,,,,,,
1950,89,,,,,,
1951,48,,,,,,
1952,89,,,,,,
1953,63,,,,,,
1954,58,,,,,,
1955,61,,,,,,
1956,47,,,,,,
1957,59,,,,,,
1958,43,,,,,,
1959,74,,,,,,
1960,70,,,,,,
1961,45,,,,,,
1962,60,,,,,,
1963,62,,,,,,
1964,45,,,,,,
1965,63,,,,,,
1966,69,,,,,,
1967,74,,,,,,
1968,108,,,,,,
1969,67,,,,,,
1970,98,,,,,,
1971,73,,,,,,
1972,67,,,,,,
1973,65,,,,,,
1974,57,,,,,,
1975,54,,,,,,
1976,57,,,,,,
1977,52,,,,,,
1978,75,,,,,,
1979,67,,,,,,
1980,69,,,,,,
1981,57,,,,,,
1982,51,,,,,,
1983,41,,,,,,
1984,34,1984,1229485.0,321915.0,,,
1985,39,1985,1315017.0,325933.0,,,
1986,41,1986,1351985.0,321653.0,,,
1987,28,1987,1352087.0,323988.0,,,
1988,30,1988,1467704.0,315859.0,,,
1989,35,1989,1417499.0,320070.0,,,
1990,41,1990,1546955.0,324331.0,,,
1991,49,1991,1560633.0,326575.0,,,
1992,47,1992,1536382.0,324097.0,,,
1993,40,1993,1612973.0,325319.0,,,
1994,49,1994,1739152.0,332861.0,,,
1995,46,1995,1700449.0,327878.0,,,
1996,56,1996,1694925.0,313218.0,,,
1997,57,1997,1734443.0,328777.0,,,
1998,62,1998,1818184.0,331874.0,,,
1999,46,1999,1764724.0,328335.0,,,
2000,48,2000,1788100.0,326518.0,,,
2001,39,2001,1838359.0,311391.0,,,
2002,52,2002,1899845.0,325741.0,,,
2003,55,2003,1872748.0,324492.0,,,
2004,41,2004,1925748.0,327994.0,166669.0,2420411.0,0.001693927188398995
2005,62,2005,1962351.0,324222.0,166760.0,2453333.0,0.0025271742564095456
2006,64,2006,2022474.0,321222.0,166719.0,2510415.0,0.0025493792858949614
2007,84,2007,2025731.0,321108.0,169846.0,2516685.0,0.0033377240298249483
2008,92,2008,2075191.0,322913.0,173789.0,2571893.0,0.003577131708045397
2009,107,2009,2086689.0,324936.0,175965.0,2587590.0,0.004135121870157174
2010,98,2010,2102483.0,324432.0,181986.0,2608901.0,0.0037563709776645415
2011,86,2011,2121355.0,324347.0,183575.0,2629277.0,0.0032708611530850493
2012,154,2012,2138000.0,319926.0,186221.0,2644147.0,0.005824184510165282
2013,154,2013,2149819.0,320257.0,192412.0,2662488.0,0.005784063627704613
2014,195,2014,2169375.0,319354.0,199795.0,2688524.0,0.007253050372620814
2015,202,2015,2190257.0,318949.0,208622.0,2717828.0,0.00743240558269324
2016,180,2016,2211522.0,318218.0,212164.0,2741904.0,0.006564781261488367
2017,117,2017,2226053.0,318832.0,216052.0,2760937.0,0.004237691769134899
2018,130,2018,2238709.0,319542.0,219137.0,2777388.0,0.004680656789760739
2019,128,2019,2262931.0,320101.0,225001.0,2808033.0,0.004558350988040383
2020,52,2020,2284132.0,319221.0,229282.0,2832635.0,0.0018357465751852955
2021,39,2021,2299606.0,318441.0,,,
